Buchungstag,Valuta,Belegnummer,Buchungstext,Gegenkonto,Betrag (EUR),Währung,Kunde/Lieferant,IBAN,Verwendungszweck
2025-04-08,2025-04-08,BNR-102528,Strom,16000,-400.11,EUR,AWS,DE89370400440532013000,Strom AWS 2025-04
2024-06-20,2024-06-20,BNR-102529,Softwarelizenz,48000,-104.12,EUR,Adobe,DE62500105170648482300,Softwarelizenz Adobe 2024-06
2025-01-11,2025-01-11,BNR-102530,Miete,69000,-1109.46,EUR,Cowork Space Berlin,DE62500105170648482300,Miete Cowork Space Berlin 2025-01
2025-01-18,2025-01-18,BNR-102531,Strom,16000,-355.41,EUR,Stromio Business,DE76543210987654321000,Strom Stromio Business 2025-01
2024-03-01,2024-03-01,BNR-102532,Finanzamt Zahlung,17000,-2571.02,EUR,Finanzamt Köln,DE44500105175407324931,Finanzamt Zahlung Finanzamt Köln 2024-03
2024-04-06,2024-04-06,BNR-102533,Zahlungseingang,10000,5826.11,EUR,ACME GmbH,DE12500105170648489890,Zahlungseingang ACME GmbH 2024-04
2024-08-10,2024-08-10,BNR-102534,Miete,69000,-995.55,EUR,Büropark Mitte GmbH,DE16530601800000001900,Miete Büropark Mitte GmbH 2024-08
2024-05-12,2024-05-12,BNR-102535,Zahlungseingang,10000,5926.46,EUR,Meyer & Co KG,DE89370400440532013000,Zahlungseingang Meyer & Co KG 2024-05
2024-11-06,2024-11-06,BNR-102536,Gehalt,60000,-1660.72,EUR,Anna Weber,DE12345678901234567890,Gehalt Anna Weber 2024-11
2024-08-30,2024-08-30,BNR-102537,Reisekosten,67600,-1615.2,EUR,Anna Weber,DE75512108001245126199,Reisekosten Anna Weber 2024-08
2025-03-02,2025-03-02,BNR-102538,Finanzamt Zahlung,17000,-774.86,EUR,Finanzamt Berlin,DE16530601800000001900,Finanzamt Zahlung Finanzamt Berlin 2025-03
2025-03-28,2025-03-28,BNR-102539,Finanzamt Erstattung,17000,614.3,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Erstattung Finanzamt München 2025-03
2024-03-22,2024-03-22,BNR-102540,Strom,16000,-725.06,EUR,Adobe,DE62500105170648482300,Strom Adobe 2024-03
2024-10-12,2024-10-12,BNR-102541,Finanzamt Zahlung,17000,-2036.92,EUR,Finanzamt Köln,DE44500105175407324931,Finanzamt Zahlung Finanzamt Köln 2024-10
2025-02-25,2025-02-25,BNR-102542,Strom,16000,-582.49,EUR,SAP,DE62500105170648482300,Strom SAP 2025-02
2024-12-07,2024-12-07,BNR-102543,Finanzamt Zahlung,17000,-2012.44,EUR,Finanzamt München,DE89370400440532013000,Finanzamt Zahlung Finanzamt München 2024-12
2024-12-30,2024-12-30,BNR-102544,Gehalt,60000,-3985.55,EUR,Tom Berger,DE12500105170648489890,Gehalt Tom Berger 2024-12
2024-08-10,2024-08-10,BNR-102545,Reisekosten,67600,-1871.29,EUR,Tom Berger,DE44500105175407324931,Reisekosten Tom Berger 2024-08
2024-05-12,2024-05-12,BNR-102546,Finanzamt Erstattung,17000,1309.95,EUR,Finanzamt Berlin,DE62500105170648482300,Finanzamt Erstattung Finanzamt Berlin 2024-05
2024-03-11,2024-03-11,BNR-102547,Gehalt,60000,-835.53,EUR,Lisa Schmidt,DE12345678901234567890,Gehalt Lisa Schmidt 2024-03
2024-07-26,2024-07-26,BNR-102548,Reisekosten,67600,-3186.52,EUR,Anna Weber,DE44500105175407324931,Reisekosten Anna Weber 2024-07
2025-02-25,2025-02-25,BNR-102549,Miete,69000,-829.97,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2025-02
2024-05-03,2024-05-03,BNR-102550,Zahlungseingang,10000,7466.6,EUR,Industriepartner AG,DE16530601800000001900,Zahlungseingang Industriepartner AG 2024-05
2024-05-16,2024-05-16,BNR-102551,Reisekosten,67600,-907.6,EUR,Lisa Schmidt,DE89370400440532013000,Reisekosten Lisa Schmidt 2024-05
2024-12-14,2024-12-14,BNR-102552,Gehalt,60000,-991.1,EUR,Lisa Schmidt,DE44500105175407324931,Gehalt Lisa Schmidt 2024-12
2024-03-25,2024-03-25,BNR-102553,Miete,69000,-1256.69,EUR,Cowork Space Berlin,DE12500105170648489890,Miete Cowork Space Berlin 2024-03
2024-01-22,2024-01-22,BNR-102554,Zahlungseingang,10000,4944.17,EUR,Kundenwelt GmbH,DE12500105170648489890,Zahlungseingang Kundenwelt GmbH 2024-01
2024-10-24,2024-10-24,BNR-102555,Strom,16000,-866.14,EUR,SAP,DE89370400440532013000,Strom SAP 2024-10
2024-12-23,2024-12-23,BNR-102556,Softwarelizenz,48000,-543.09,EUR,Adobe,DE89370400440532013000,Softwarelizenz Adobe 2024-12
2024-09-10,2024-09-10,BNR-102557,Strom,16000,-710.71,EUR,Microsoft,DE44500105175407324931,Strom Microsoft 2024-09
2024-02-15,2024-02-15,BNR-102558,Strom,16000,-369.51,EUR,AWS,DE76543210987654321000,Strom AWS 2024-02
2024-10-04,2024-10-04,BNR-102559,Finanzamt Erstattung,17000,779.5,EUR,Finanzamt Köln,DE12345678901234567890,Finanzamt Erstattung Finanzamt Köln 2024-10
2024-11-16,2024-11-16,BNR-102560,Reisekosten,67600,-2991.02,EUR,Anna Weber,DE12500105170648489890,Reisekosten Anna Weber 2024-11
2024-06-24,2024-06-24,BNR-102561,Strom,16000,-670.97,EUR,Stromio Business,DE75512108001245126199,Strom Stromio Business 2024-06
2024-02-29,2024-02-29,BNR-102562,Zahlungseingang,10000,3013.98,EUR,ACME GmbH,DE16530601800000001900,Zahlungseingang ACME GmbH 2024-02
2025-05-05,2025-05-05,BNR-102563,Finanzamt Erstattung,17000,1151.9,EUR,Finanzamt Berlin,DE44500105175407324931,Finanzamt Erstattung Finanzamt Berlin 2025-05
2025-02-02,2025-02-02,BNR-102564,Zahlungseingang,10000,1092.23,EUR,ACME GmbH,DE12500105170648489890,Zahlungseingang ACME GmbH 2025-02
2024-10-24,2024-10-24,BNR-102565,Miete,69000,-1512.02,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2024-10
2025-01-23,2025-01-23,BNR-102566,Zahlungseingang,10000,4472.14,EUR,Kundenwelt GmbH,DE16530601800000001900,Zahlungseingang Kundenwelt GmbH 2025-01
2024-01-28,2024-01-28,BNR-102567,Strom,16000,-536.54,EUR,SAP,DE75512108001245126199,Strom SAP 2024-01
2024-07-17,2024-07-17,BNR-102568,Finanzamt Zahlung,17000,-562.85,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Zahlung Finanzamt München 2024-07
2024-01-20,2024-01-20,BNR-102569,Finanzamt Zahlung,17000,-2407.13,EUR,Finanzamt Köln,DE76543210987654321000,Finanzamt Zahlung Finanzamt Köln 2024-01
2024-05-08,2024-05-08,BNR-102570,Gehalt,60000,-2432.23,EUR,Anna Weber,DE62500105170648482300,Gehalt Anna Weber 2024-05
2024-04-08,2024-04-08,BNR-102571,Zahlungseingang,10000,7821.29,EUR,Meyer & Co KG,DE75512108001245126199,Zahlungseingang Meyer & Co KG 2024-04
2024-01-26,2024-01-26,BNR-102572,Zahlungseingang,10000,6272.73,EUR,Industriepartner AG,DE44500105175407324931,Zahlungseingang Industriepartner AG 2024-01
2024-07-04,2024-07-04,BNR-102573,Finanzamt Zahlung,17000,-2983.89,EUR,Finanzamt Köln,DE62500105170648482300,Finanzamt Zahlung Finanzamt Köln 2024-07
2024-09-08,2024-09-08,BNR-102574,Finanzamt Zahlung,17000,-701.79,EUR,Finanzamt München,DE62500105170648482300,Finanzamt Zahlung Finanzamt München 2024-09
2024-04-23,2024-04-23,BNR-102575,Reisekosten,67600,-1018.64,EUR,Tom Berger,DE44500105175407324931,Reisekosten Tom Berger 2024-04
2024-10-09,2024-10-09,BNR-102576,Miete,69000,-1585.91,EUR,Büropark Mitte GmbH,DE44500105175407324931,Miete Büropark Mitte GmbH 2024-10
2024-09-18,2024-09-18,BNR-102577,Strom,16000,-439.54,EUR,AWS,DE12345678901234567890,Strom AWS 2024-09
2025-01-11,2025-01-11,BNR-102578,Strom,16000,-352.37,EUR,Microsoft,DE12500105170648489890,Strom Microsoft 2025-01
2024-02-23,2024-02-23,BNR-102579,Finanzamt Erstattung,17000,729.02,EUR,Finanzamt Köln,DE76543210987654321000,Finanzamt Erstattung Finanzamt Köln 2024-02
2024-03-14,2024-03-14,BNR-102580,Finanzamt Zahlung,17000,-2046.68,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Zahlung Finanzamt Köln 2024-03
2024-07-29,2024-07-29,BNR-102581,Gehalt,60000,-3441.47,EUR,Tom Berger,DE16530601800000001900,Gehalt Tom Berger 2024-07
2024-09-28,2024-09-28,BNR-102582,Miete,69000,-1135.42,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2024-09
2024-01-19,2024-01-19,BNR-102583,Finanzamt Erstattung,17000,624.1,EUR,Finanzamt München,DE16530601800000001900,Finanzamt Erstattung Finanzamt München 2024-01
2024-08-10,2024-08-10,BNR-102584,Strom,16000,-171.96,EUR,Adobe,DE75512108001245126199,Strom Adobe 2024-08
2025-02-11,2025-02-11,BNR-102585,Zahlungseingang,10000,5801.02,EUR,ACME GmbH,DE12500105170648489890,Zahlungseingang ACME GmbH 2025-02
2024-12-20,2024-12-20,BNR-102586,Zahlungseingang,10000,6779.82,EUR,ACME GmbH,DE16530601800000001900,Zahlungseingang ACME GmbH 2024-12
2024-05-08,2024-05-08,BNR-102587,Reisekosten,67600,-602.74,EUR,Tom Berger,DE75512108001245126199,Reisekosten Tom Berger 2024-05
2024-04-20,2024-04-20,BNR-102588,Softwarelizenz,48000,-227.77,EUR,AWS,DE44500105175407324931,Softwarelizenz AWS 2024-04
2024-08-01,2024-08-01,BNR-102589,Strom,16000,-153.79,EUR,Stromio Business,DE75512108001245126199,Strom Stromio Business 2024-08
2024-02-18,2024-02-18,BNR-102590,Gehalt,60000,-3300.48,EUR,Anna Weber,DE62500105170648482300,Gehalt Anna Weber 2024-02
2025-01-27,2025-01-27,BNR-102591,Zahlungseingang,10000,6944.06,EUR,Industriepartner AG,DE12500105170648489890,Zahlungseingang Industriepartner AG 2025-01
2024-01-06,2024-01-06,BNR-102592,Gehalt,60000,-2482.73,EUR,Lisa Schmidt,DE89370400440532013000,Gehalt Lisa Schmidt 2024-01
2025-04-02,2025-04-02,BNR-102593,Finanzamt Zahlung,17000,-2276.74,EUR,Finanzamt Berlin,DE12500105170648489890,Finanzamt Zahlung Finanzamt Berlin 2025-04
2024-06-07,2024-06-07,BNR-102594,Gehalt,60000,-1665.5,EUR,Tom Berger,DE12345678901234567890,Gehalt Tom Berger 2024-06
2024-09-26,2024-09-26,BNR-102595,Gehalt,60000,-1587.16,EUR,Tom Berger,DE12345678901234567890,Gehalt Tom Berger 2024-09
2024-12-21,2024-12-21,BNR-102596,Reisekosten,67600,-1510.01,EUR,Tom Berger,DE76543210987654321000,Reisekosten Tom Berger 2024-12
2025-02-12,2025-02-12,BNR-102597,Reisekosten,67600,-1754.03,EUR,Tom Berger,DE89370400440532013000,Reisekosten Tom Berger 2025-02
2024-09-30,2024-09-30,BNR-102598,Reisekosten,67600,-3080.19,EUR,Tom Berger,DE12345678901234567890,Reisekosten Tom Berger 2024-09
2025-02-21,2025-02-21,BNR-102599,Gehalt,60000,-728.01,EUR,Anna Weber,DE62500105170648482300,Gehalt Anna Weber 2025-02
2024-12-22,2024-12-22,BNR-102600,Zahlungseingang,10000,6136.72,EUR,ACME GmbH,DE16530601800000001900,Zahlungseingang ACME GmbH 2024-12
2025-02-01,2025-02-01,BNR-102601,Strom,16000,-157.74,EUR,SAP,DE44500105175407324931,Strom SAP 2025-02
2024-08-25,2024-08-25,BNR-102602,Reisekosten,67600,-2616.34,EUR,Tom Berger,DE16530601800000001900,Reisekosten Tom Berger 2024-08
2024-12-02,2024-12-02,BNR-102603,Miete,69000,-1194.25,EUR,Büropark Mitte GmbH,DE16530601800000001900,Miete Büropark Mitte GmbH 2024-12
2024-12-27,2024-12-27,BNR-102604,Zahlungseingang,10000,2527.16,EUR,ACME GmbH,DE44500105175407324931,Zahlungseingang ACME GmbH 2024-12
2024-11-04,2024-11-04,BNR-102605,Gehalt,60000,-1540.0,EUR,Lisa Schmidt,DE76543210987654321000,Gehalt Lisa Schmidt 2024-11
2024-05-11,2024-05-11,BNR-102606,Gehalt,60000,-1495.21,EUR,Tom Berger,DE12345678901234567890,Gehalt Tom Berger 2024-05
2024-06-25,2024-06-25,BNR-102607,Strom,16000,-606.79,EUR,AWS,DE75512108001245126199,Strom AWS 2024-06
2024-08-10,2024-08-10,BNR-102608,Finanzamt Zahlung,17000,-2667.79,EUR,Finanzamt München,DE89370400440532013000,Finanzamt Zahlung Finanzamt München 2024-08
2025-04-18,2025-04-18,BNR-102609,Finanzamt Erstattung,17000,1728.27,EUR,Finanzamt Berlin,DE89370400440532013000,Finanzamt Erstattung Finanzamt Berlin 2025-04
2024-08-28,2024-08-28,BNR-102610,Softwarelizenz,48000,-351.53,EUR,Stromio Business,DE44500105175407324931,Softwarelizenz Stromio Business 2024-08
2024-11-18,2024-11-18,BNR-102611,Softwarelizenz,48000,-699.22,EUR,Microsoft,DE75512108001245126199,Softwarelizenz Microsoft 2024-11
2025-02-10,2025-02-10,BNR-102612,Strom,16000,-163.83,EUR,Adobe,DE44500105175407324931,Strom Adobe 2025-02
2024-02-25,2024-02-25,BNR-102613,Zahlungseingang,10000,6760.99,EUR,Kundenwelt GmbH,DE62500105170648482300,Zahlungseingang Kundenwelt GmbH 2024-02
2024-02-25,2024-02-25,BNR-102614,Zahlungseingang,10000,6857.18,EUR,ACME GmbH,DE89370400440532013000,Zahlungseingang ACME GmbH 2024-02
2024-12-19,2024-12-19,BNR-102615,Finanzamt Zahlung,17000,-2757.9,EUR,Finanzamt Köln,DE76543210987654321000,Finanzamt Zahlung Finanzamt Köln 2024-12
2025-03-11,2025-03-11,BNR-102616,Gehalt,60000,-1777.64,EUR,Lisa Schmidt,DE62500105170648482300,Gehalt Lisa Schmidt 2025-03
2024-03-25,2024-03-25,BNR-102617,Strom,16000,-880.71,EUR,Stromio Business,DE44500105175407324931,Strom Stromio Business 2024-03
2024-09-04,2024-09-04,BNR-102618,Zahlungseingang,10000,7637.38,EUR,Kundenwelt GmbH,DE62500105170648482300,Zahlungseingang Kundenwelt GmbH 2024-09
2024-10-21,2024-10-21,BNR-102619,Softwarelizenz,48000,-885.99,EUR,Stromio Business,DE12500105170648489890,Softwarelizenz Stromio Business 2024-10
2025-02-20,2025-02-20,BNR-102620,Miete,69000,-891.61,EUR,Büropark Mitte GmbH,DE76543210987654321000,Miete Büropark Mitte GmbH 2025-02
2024-12-27,2024-12-27,BNR-102621,Strom,16000,-907.03,EUR,Adobe,DE12345678901234567890,Strom Adobe 2024-12
2024-12-03,2024-12-03,BNR-102622,Reisekosten,67600,-3675.35,EUR,Anna Weber,DE75512108001245126199,Reisekosten Anna Weber 2024-12
2025-04-20,2025-04-20,BNR-102623,Zahlungseingang,10000,1578.24,EUR,Industriepartner AG,DE75512108001245126199,Zahlungseingang Industriepartner AG 2025-04
2024-07-19,2024-07-19,BNR-102624,Strom,16000,-533.88,EUR,AWS,DE62500105170648482300,Strom AWS 2024-07
2024-10-09,2024-10-09,BNR-102625,Finanzamt Erstattung,17000,539.17,EUR,Finanzamt Berlin,DE75512108001245126199,Finanzamt Erstattung Finanzamt Berlin 2024-10
2025-02-20,2025-02-20,BNR-102626,Gehalt,60000,-2502.58,EUR,Anna Weber,DE16530601800000001900,Gehalt Anna Weber 2025-02
2024-05-10,2024-05-10,BNR-102627,Finanzamt Zahlung,17000,-2296.14,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Zahlung Finanzamt Köln 2024-05
2024-11-16,2024-11-16,BNR-102628,Softwarelizenz,48000,-114.75,EUR,Adobe,DE62500105170648482300,Softwarelizenz Adobe 2024-11
2025-04-16,2025-04-16,BNR-102629,Gehalt,60000,-3576.74,EUR,Anna Weber,DE16530601800000001900,Gehalt Anna Weber 2025-04
2024-07-01,2024-07-01,BNR-102630,Softwarelizenz,48000,-958.92,EUR,SAP,DE16530601800000001900,Softwarelizenz SAP 2024-07
2025-03-15,2025-03-15,BNR-102631,Gehalt,60000,-3892.99,EUR,Anna Weber,DE12500105170648489890,Gehalt Anna Weber 2025-03
2025-03-03,2025-03-03,BNR-102632,Strom,16000,-798.81,EUR,Microsoft,DE16530601800000001900,Strom Microsoft 2025-03
2025-01-14,2025-01-14,BNR-102633,Gehalt,60000,-1343.65,EUR,Anna Weber,DE62500105170648482300,Gehalt Anna Weber 2025-01
2024-06-02,2024-06-02,BNR-102634,Miete,69000,-839.64,EUR,Büropark Mitte GmbH,DE44500105175407324931,Miete Büropark Mitte GmbH 2024-06
2025-01-15,2025-01-15,BNR-102635,Softwarelizenz,48000,-568.43,EUR,AWS,DE44500105175407324931,Softwarelizenz AWS 2025-01
2024-03-29,2024-03-29,BNR-102636,Finanzamt Erstattung,17000,668.77,EUR,Finanzamt Berlin,DE44500105175407324931,Finanzamt Erstattung Finanzamt Berlin 2024-03
2025-02-24,2025-02-24,BNR-102637,Gehalt,60000,-2949.74,EUR,Lisa Schmidt,DE76543210987654321000,Gehalt Lisa Schmidt 2025-02
2024-11-21,2024-11-21,BNR-102638,Miete,69000,-1484.93,EUR,Cowork Space Berlin,DE76543210987654321000,Miete Cowork Space Berlin 2024-11
2024-08-17,2024-08-17,BNR-102639,Gehalt,60000,-1888.32,EUR,Anna Weber,DE76543210987654321000,Gehalt Anna Weber 2024-08
2024-07-27,2024-07-27,BNR-102640,Reisekosten,67600,-1179.54,EUR,Anna Weber,DE62500105170648482300,Reisekosten Anna Weber 2024-07
2024-12-10,2024-12-10,BNR-102641,Finanzamt Erstattung,17000,498.68,EUR,Finanzamt Köln,DE62500105170648482300,Finanzamt Erstattung Finanzamt Köln 2024-12
2024-08-12,2024-08-12,BNR-102642,Strom,16000,-310.76,EUR,Adobe,DE89370400440532013000,Strom Adobe 2024-08
2024-09-22,2024-09-22,BNR-102643,Zahlungseingang,10000,5236.48,EUR,Meyer & Co KG,DE76543210987654321000,Zahlungseingang Meyer & Co KG 2024-09
2024-07-15,2024-07-15,BNR-102644,Gehalt,60000,-2688.55,EUR,Lisa Schmidt,DE76543210987654321000,Gehalt Lisa Schmidt 2024-07
2024-06-12,2024-06-12,BNR-102645,Miete,69000,-1574.28,EUR,Cowork Space Berlin,DE62500105170648482300,Miete Cowork Space Berlin 2024-06
2024-04-07,2024-04-07,BNR-102646,Finanzamt Zahlung,17000,-2547.02,EUR,Finanzamt Berlin,DE44500105175407324931,Finanzamt Zahlung Finanzamt Berlin 2024-04
2024-09-20,2024-09-20,BNR-102647,Finanzamt Erstattung,17000,1284.14,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Erstattung Finanzamt Köln 2024-09
2024-06-14,2024-06-14,BNR-102648,Strom,16000,-221.89,EUR,Adobe,DE89370400440532013000,Strom Adobe 2024-06
2024-01-14,2024-01-14,BNR-102649,Strom,16000,-459.52,EUR,Adobe,DE76543210987654321000,Strom Adobe 2024-01
2024-07-28,2024-07-28,BNR-102650,Strom,16000,-365.69,EUR,Adobe,DE89370400440532013000,Strom Adobe 2024-07
2024-06-19,2024-06-19,BNR-102651,Strom,16000,-695.63,EUR,Stromio Business,DE62500105170648482300,Strom Stromio Business 2024-06
2024-09-09,2024-09-09,BNR-102652,Zahlungseingang,10000,3297.51,EUR,ACME GmbH,DE75512108001245126199,Zahlungseingang ACME GmbH 2024-09
2025-03-29,2025-03-29,BNR-102653,Finanzamt Erstattung,17000,1236.46,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Erstattung Finanzamt Köln 2025-03
2024-05-23,2024-05-23,BNR-102654,Finanzamt Zahlung,17000,-2246.17,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Zahlung Finanzamt Köln 2024-05
2025-03-30,2025-03-30,BNR-102655,Softwarelizenz,48000,-815.8,EUR,AWS,DE76543210987654321000,Softwarelizenz AWS 2025-03
2024-09-22,2024-09-22,BNR-102656,Miete,69000,-1209.52,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2024-09
2024-08-12,2024-08-12,BNR-102657,Reisekosten,67600,-3652.45,EUR,Anna Weber,DE76543210987654321000,Reisekosten Anna Weber 2024-08
2025-02-26,2025-02-26,BNR-102658,Gehalt,60000,-2447.6,EUR,Lisa Schmidt,DE62500105170648482300,Gehalt Lisa Schmidt 2025-02
2024-12-09,2024-12-09,BNR-102659,Miete,69000,-1348.77,EUR,Cowork Space Berlin,DE44500105175407324931,Miete Cowork Space Berlin 2024-12
2024-01-10,2024-01-10,BNR-102660,Strom,16000,-189.12,EUR,Adobe,DE62500105170648482300,Strom Adobe 2024-01
2024-02-28,2024-02-28,BNR-102661,Softwarelizenz,48000,-179.27,EUR,Adobe,DE76543210987654321000,Softwarelizenz Adobe 2024-02
2025-01-03,2025-01-03,BNR-102662,Finanzamt Erstattung,17000,419.37,EUR,Finanzamt Köln,DE16530601800000001900,Finanzamt Erstattung Finanzamt Köln 2025-01
2024-09-20,2024-09-20,BNR-102663,Zahlungseingang,10000,4376.78,EUR,Meyer & Co KG,DE89370400440532013000,Zahlungseingang Meyer & Co KG 2024-09
2024-10-17,2024-10-17,BNR-102664,Gehalt,60000,-3040.2,EUR,Lisa Schmidt,DE44500105175407324931,Gehalt Lisa Schmidt 2024-10
2025-04-30,2025-04-30,BNR-102665,Finanzamt Zahlung,17000,-1421.91,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Zahlung Finanzamt München 2025-04
2024-12-08,2024-12-08,BNR-102666,Gehalt,60000,-2505.16,EUR,Lisa Schmidt,DE75512108001245126199,Gehalt Lisa Schmidt 2024-12
2025-04-24,2025-04-24,BNR-102667,Softwarelizenz,48000,-606.31,EUR,Stromio Business,DE62500105170648482300,Softwarelizenz Stromio Business 2025-04
2025-03-25,2025-03-25,BNR-102668,Softwarelizenz,48000,-967.6,EUR,SAP,DE12500105170648489890,Softwarelizenz SAP 2025-03
2024-04-16,2024-04-16,BNR-102669,Gehalt,60000,-3063.44,EUR,Anna Weber,DE12345678901234567890,Gehalt Anna Weber 2024-04
2024-01-19,2024-01-19,BNR-102670,Finanzamt Erstattung,17000,210.44,EUR,Finanzamt München,DE76543210987654321000,Finanzamt Erstattung Finanzamt München 2024-01
2025-01-10,2025-01-10,BNR-102671,Softwarelizenz,48000,-267.1,EUR,AWS,DE12500105170648489890,Softwarelizenz AWS 2025-01
2024-08-10,2024-08-10,BNR-102672,Softwarelizenz,48000,-625.39,EUR,Adobe,DE12500105170648489890,Softwarelizenz Adobe 2024-08
2025-03-31,2025-03-31,BNR-102673,Finanzamt Erstattung,17000,539.08,EUR,Finanzamt München,DE16530601800000001900,Finanzamt Erstattung Finanzamt München 2025-03
2024-01-01,2024-01-01,BNR-102674,Miete,69000,-1384.06,EUR,Büropark Mitte GmbH,DE44500105175407324931,Miete Büropark Mitte GmbH 2024-01
2024-01-31,2024-01-31,BNR-102675,Miete,69000,-1085.8,EUR,Büropark Mitte GmbH,DE12345678901234567890,Miete Büropark Mitte GmbH 2024-01
2025-05-03,2025-05-03,BNR-102676,Miete,69000,-1303.55,EUR,Büropark Mitte GmbH,DE89370400440532013000,Miete Büropark Mitte GmbH 2025-05
2024-06-09,2024-06-09,BNR-102677,Miete,69000,-1138.24,EUR,Büropark Mitte GmbH,DE16530601800000001900,Miete Büropark Mitte GmbH 2024-06
2024-12-23,2024-12-23,BNR-102678,Finanzamt Zahlung,17000,-2847.05,EUR,Finanzamt Berlin,DE75512108001245126199,Finanzamt Zahlung Finanzamt Berlin 2024-12
2024-10-08,2024-10-08,BNR-102679,Miete,69000,-1917.8,EUR,Büropark Mitte GmbH,DE12500105170648489890,Miete Büropark Mitte GmbH 2024-10
2024-12-02,2024-12-02,BNR-102680,Gehalt,60000,-1618.94,EUR,Tom Berger,DE76543210987654321000,Gehalt Tom Berger 2024-12
2025-02-23,2025-02-23,BNR-102681,Miete,69000,-1430.68,EUR,Cowork Space Berlin,DE75512108001245126199,Miete Cowork Space Berlin 2025-02
2024-11-20,2024-11-20,BNR-102682,Softwarelizenz,48000,-391.63,EUR,Adobe,DE76543210987654321000,Softwarelizenz Adobe 2024-11
2024-10-17,2024-10-17,BNR-102683,Finanzamt Zahlung,17000,-2263.2,EUR,Finanzamt München,DE12500105170648489890,Finanzamt Zahlung Finanzamt München 2024-10
2024-08-22,2024-08-22,BNR-102684,Miete,69000,-1165.98,EUR,Büropark Mitte GmbH,DE12500105170648489890,Miete Büropark Mitte GmbH 2024-08
2024-08-16,2024-08-16,BNR-102685,Softwarelizenz,48000,-638.33,EUR,SAP,DE44500105175407324931,Softwarelizenz SAP 2024-08
2024-06-20,2024-06-20,BNR-102686,Finanzamt Zahlung,17000,-2379.59,EUR,Finanzamt Berlin,DE62500105170648482300,Finanzamt Zahlung Finanzamt Berlin 2024-06
2024-07-09,2024-07-09,BNR-102687,Gehalt,60000,-1036.2,EUR,Tom Berger,DE62500105170648482300,Gehalt Tom Berger 2024-07
2025-04-08,2025-04-08,BNR-102688,Finanzamt Erstattung,17000,747.87,EUR,Finanzamt Köln,DE76543210987654321000,Finanzamt Erstattung Finanzamt Köln 2025-04
2025-01-18,2025-01-18,BNR-102689,Reisekosten,67600,-759.06,EUR,Lisa Schmidt,DE76543210987654321000,Reisekosten Lisa Schmidt 2025-01
2024-02-25,2024-02-25,BNR-102690,Finanzamt Zahlung,17000,-796.24,EUR,Finanzamt München,DE75512108001245126199,Finanzamt Zahlung Finanzamt München 2024-02
2025-03-10,2025-03-10,BNR-102691,Finanzamt Zahlung,17000,-1971.51,EUR,Finanzamt Köln,DE44500105175407324931,Finanzamt Zahlung Finanzamt Köln 2025-03
2024-09-12,2024-09-12,BNR-102692,Strom,16000,-820.07,EUR,Stromio Business,DE12345678901234567890,Strom Stromio Business 2024-09
2024-01-19,2024-01-19,BNR-102693,Gehalt,60000,-2252.64,EUR,Lisa Schmidt,DE44500105175407324931,Gehalt Lisa Schmidt 2024-01
2024-10-14,2024-10-14,BNR-102694,Strom,16000,-394.59,EUR,SAP,DE44500105175407324931,Strom SAP 2024-10
2024-10-26,2024-10-26,BNR-102695,Finanzamt Zahlung,17000,-645.21,EUR,Finanzamt Berlin,DE16530601800000001900,Finanzamt Zahlung Finanzamt Berlin 2024-10
2024-11-04,2024-11-04,BNR-102696,Reisekosten,67600,-1299.4,EUR,Lisa Schmidt,DE75512108001245126199,Reisekosten Lisa Schmidt 2024-11
2024-11-05,2024-11-05,BNR-102697,Softwarelizenz,48000,-372.72,EUR,AWS,DE89370400440532013000,Softwarelizenz AWS 2024-11
2024-03-12,2024-03-12,BNR-102698,Strom,16000,-288.82,EUR,AWS,DE76543210987654321000,Strom AWS 2024-03
2025-03-20,2025-03-20,BNR-102699,Reisekosten,67600,-839.91,EUR,Anna Weber,DE16530601800000001900,Reisekosten Anna Weber 2025-03
2024-03-21,2024-03-21,BNR-102700,Reisekosten,67600,-2312.99,EUR,Tom Berger,DE75512108001245126199,Reisekosten Tom Berger 2024-03
2025-01-22,2025-01-22,BNR-102701,Finanzamt Zahlung,17000,-1819.02,EUR,Finanzamt Berlin,DE16530601800000001900,Finanzamt Zahlung Finanzamt Berlin 2025-01
2024-10-19,2024-10-19,BNR-102702,Finanzamt Erstattung,17000,1382.45,EUR,Finanzamt München,DE75512108001245126199,Finanzamt Erstattung Finanzamt München 2024-10
2025-02-20,2025-02-20,BNR-102703,Finanzamt Erstattung,17000,1708.62,EUR,Finanzamt Köln,DE62500105170648482300,Finanzamt Erstattung Finanzamt Köln 2025-02
